Name,NRIC,Nationality,Age,Gender,Date(s) of Offence,Offence,Time of Offence,Monetary amount involved ,Statutory Provision,Penal Code Term Tenure,Penal Code Fine Guideline,Repeated Offender,Employment Status,Canning ,Jail term, Fine
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Employed,4,1,600
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,No,Employed,0,5,2000
Kian Doman,S8763456K,Singaporean,44,Male,12/9/14,Misappropriation,,24000,408,15,2000,Yes,Unemployed,0,11,2400
Sergey Brian,S45995978Y,Singaporean,65,Male,13/9/14,Misappropriation,,24000,408,15,1800,Yes,Unemployed,0,10,2160
Heng Swee Chan,S45995967Y,Malaysian,34,Male,14/9/14,Misappropriation,,23000,"406 , 34",7,2000,Yes,Employed,0,6,2400
Meryl Lee,S45995974T,Singaporean,21,Female,15/9/14,Misappropriation,,4000,408,15,1000,No,Employed,0,3,1000
Kitman See,S45995459T,Singaporean,45,Male,16/9/14,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,7,1,1080
Clement Lee,S4567895F,Singaporean,54,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,5,1,900
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,No,Unemployed,0,6,3000
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Employed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Employed,0,5,2000
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,1,840
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1300,No,Unemployed,0,7,1300
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Employed,0,6,1000
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3500,408,15,500,Yes,Unemployed,0,2,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,700
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,5,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,900,Yes,Unemployed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2400
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,700
Clement Lee,S4567895F,Singaporean,67,Male,3/4/11,Outrage Modesty,,,354(1),2,1200,No,Unemployed,4,1,1200
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Employed,0,5,1000
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Unemployed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Unemployed,0,5,2000
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,700
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1350,Yes,Employed,0,8,1620
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3000,408,15,500,No,Unemployed,0,2,500
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,No,Unemployed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,8,1,1200
Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,No,Employed,0,8,1250
Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,No,Employed,0,9,1200
Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Unemployed,0,10,1800
Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,2,1080
Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,3000,"406 , 34",7,500,No,Employed,0,2,500
Hui Jie,S3456784Z,Singaporean,31,Male,11/9/19,Outrage Modesty,,,354(1),2,900,Yes,Employed,9,2,1080
Hui Min,S3456784S,Singaporean,35,Female,12/9/19,Misappropriation,,4000,"406 , 34",7,1000,No,Employed,0,2,1000
Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,6,1,840
Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,No,Unemployed,0,3,900
Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,Yes,Employed,0,6,1080
Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,Yes,Employed,5,1,600
Hui Ting,S3456784P,Singaporean,55,Female,17/9/19,Misappropriation,,7000,408,15,1000,No,Unemployed,0,7,1000
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,0.5,700
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Unemployed,8,1,600
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,No,Employed,0,7,2000
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Clement Lee,S4567895F,Singaporean,61,Male,3/4/11,Outrage Modesty,,,354(1),2,2000,No,Employed,6,1,2000
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,900,Yes,Unemployed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,No,Unemployed,0,6,3000
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Employed,0,5,1000
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Unemployed,8,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,600
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2400
Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Employed,8,1,1000
Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Unemployed,0,8,1500
Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Unemployed,0,9,1440
Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,No,Employed,0,10,1500
Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,No,Employed,9,2,900
Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,3560,"406 , 34",7,500,Yes,Unemployed,0,2,600
Hui Jie,S3456784Z,Singaporean,30,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1440
Hui Min,S3456784S,Singaporean,32,Female,12/9/19,Misappropriation,,4200,"406 , 34",7,1200,Yes,Unemployed,0,1,1440
Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,6,1,700
Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,Yes,Employed,0,3,1080
Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,No,Unemployed,0,6,900
Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,Yes,Unemployed,5,1,600
Hui Ting,S3456784P,Singaporean,56,Female,17/9/19,Misappropriation,,7200,408,15,1500,Yes,Employed,0,6,1800
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2400
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,700,No,Employed,4,1,700
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Unemployed,9,1,500
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1000
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Unemployed,8,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Employed,4,1,600
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2400
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,700
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1200,Yes,Employed,0,8,1440
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Employed,0,6,1000
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3890,408,15,500,No,Unemployed,0,2,500
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Unemployed,8,1,1000
Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Unemployed,0,8,1500
Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,No,Employed,0,9,1200
Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Employed,0,10,1800
Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,8,2,1080
Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,4000,"406 , 34",7,500,No,Employed,0,2,500
Hui Jie,S3456784Z,Singaporean,34,Male,11/9/19,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,2,900
Hui Min,S3456784S,Singaporean,30,Female,12/9/19,Misappropriation,,4400,"406 , 34",7,1000,Yes,Employed,0,2,1200
Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,6,1,840
Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,Yes,Unemployed,0,3,1080
Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,No,Unemployed,0,6,900
Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,Yes,Employed,5,1,600
Hui Ting,S3456784P,Singaporean,54,Female,17/9/19,Misappropriation,,7100,408,15,1600,No,Employed,0,6,1600
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Clement Lee,S4567895F,Singaporean,35,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,8,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2400
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,7,1,900
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,8,1,500
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Unemployed,0,6,3600
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Employed,0,5,1000
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,8,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,600
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2400
Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Employed,8,1,1000
Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1500
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3000,408,15,500,Yes,Unemployed,0,2,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Employed,4,1,1000
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,No,Employed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,8,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Unemployed,0,7,2400
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Unemployed,8,1,600
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,2000,Yes,Employed,0,7,2400
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Employed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1800
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,Yes,Employed,0,5,2400
Kian Doman,S8763456K,Singaporean,44,Male,12/9/14,Misappropriation,,24000,408,15,2000,Yes,Employed,0,11,2400
Sergey Brian,S45995978Y,Singaporean,65,Male,13/9/14,Misappropriation,,24000,408,15,1800,No,Employed,0,10,1800
Heng Swee Chan,S45995967Y,Malaysian,34,Male,14/9/14,Misappropriation,,23000,"406 , 34",7,2500,Yes,Unemployed,0,5,3000
Meryl Lee,S45995974T,Singaporean,21,Female,15/9/14,Misappropriation,,4000,408,15,1000,No,Unemployed,0,3,1000
Kitman See,S45995459T,Singaporean,45,Male,16/9/14,Outrage Modesty,,,354(1),2,900,Yes,Employed,7,1,1080
Clement Lee,S4567895F,Singaporean,40,Male,3/4/11,Outrage Modesty,,,354(1),2,2100,Yes,Employed,3,1,2520
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,8,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1800
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Unemployed,0,5,2000
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1200,No,Employed,0,9,1200
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Unemployed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Unemployed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3450,408,15,500,Yes,Employed,0,2,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Employed,4,1,1000
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,700
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,4,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,8,1,500
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,No,Unemployed,0,7,2000
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1000
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,9,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1800
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,600
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2400
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1250,Yes,Unemployed,0,8,1500
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,7,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,4100,408,15,500,No,Employed,0,2,500
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,700
Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Unemployed,8,1,1000
Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1500
Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Unemployed,0,9,1440
Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,No,Employed,0,10,1500
Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,2,1080
Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,2500,"406 , 34",7,500,No,Unemployed,0,2,500
Hui Jie,S3456784Z,Singaporean,28,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1440
Hui Min,S3456784S,Singaporean,32,Female,12/9/19,Misappropriation,,4300,"406 , 34",7,1200,No,Employed,0,1,1200
Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,6,1,840
