Sl. No,Name,NRIC,Nationality,Age,Gender,Date(s) of Offence,Offence,Time of Offence,Monetary amount involved ,Statutory Provision,Penal Code Term Tenure,Penal Code Fine Guideline,Repeated Offender,Employment Status,Canning ,Jail term,Fine
196,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,No,Unemployed,0,3,0.9
197,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,No,Employed,0,6,0.9
198,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,No,Unemployed,0,6,0.9
199,Hui Jie,S3456784Z,Singaporean,34,Male,11/9/19,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,2,0.9
200,Clement Lee,S4567895F,Singaporean,54,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,5,1,0.9
201,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,No,Employed,8,2,0.9
202,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,1,0.9
203,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,1,0.9
204,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,8,1,0.9
205,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,1,0.9
206,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,1,0.9
207,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,8,1,0.9
208,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,No,Employed,0,3,0.9
209,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,9,1,0.9
210,Clement Lee,S4567895F,Singaporean,49,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,4,1,0.9
211,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,8,1,0.9
212,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,1,0.9
213,Clement Lee,S4567895F,Singaporean,45,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,4,1,0.9
214,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,2,0.9
215,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,2,0.9
216,Clement Lee,S4567895F,Singaporean,44,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,6,1,0.9
217,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,8,1,0.9
218,Clement Lee,S4567895F,Singaporean,50,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,4,1,0.9
219,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,1,0.9
220,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,7,1,0.9
221,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,5,1,0.9
222,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,5,1,0.9
223,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,800,Yes,Unemployed,4,1,0.96
224,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,0.96
225,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,0.96
226,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,0.96
227,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,0.96
228,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,0.96
229,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,0.96
230,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,0.96
231,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,0.96
232,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,0.96
233,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,0.96
234,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1
235,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Unemployed,4,1,1
236,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Employed,0,6,1
237,Hui Min,S3456784S,Singaporean,33,Female,12/9/19,Misappropriation,,4100,"406 , 34",7,1000,No,Unemployed,0,2,1
238,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Employed,8,1,1
239,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Unemployed,0,6,1
240,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Employed,4,1,1
241,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Employed,8,1,1
242,Hui Ting,S3456784P,Singaporean,55,Female,17/9/19,Misappropriation,,7000,408,15,1000,No,Unemployed,0,7,1
243,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Unemployed,8,1,1
244,Hui Min,S3456784S,Singaporean,35,Female,12/9/19,Misappropriation,,4000,"406 , 34",7,1000,No,Employed,0,2,1
245,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Unemployed,4,1,1
246,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Employed,0,6,1
247,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Employed,4,1,1
248,Meryl Lee,S45995974T,Singaporean,21,Female,15/9/14,Misappropriation,,4000,408,15,1000,No,Unemployed,0,3,1
249,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1
250,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1
251,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Employed,0,5,1
252,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Employed,0,6,1
253,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Employed,0,6,1
254,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Employed,4,1,1
255,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Employed,0,5,1
256,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Employed,4,1,1
257,Meryl Lee,S45995974T,Singaporean,21,Female,15/9/14,Misappropriation,,4000,408,15,1000,No,Employed,0,3,1
258,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Employed,8,1,1
259,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Employed,0,5,1
260,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1
261,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Unemployed,8,1,1
262,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,Yes,Unemployed,0,3,1.08
263,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,Yes,Unemployed,0,3,1.08
264,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,Yes,Employed,0,6,1.08
265,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1.08
266,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1.08
267,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,8,2,1.08
268,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,4,1,1.08
269,Clement Lee,S4567895F,Singaporean,43,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,4,1,1.08
270,Clement Lee,S4567895F,Singaporean,35,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1.08
271,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,Yes,Unemployed,0,6,1.08
272,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,Yes,Employed,0,3,1.08
273,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,2,1.08
274,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1.08
275,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,Yes,Employed,0,3,1.08
276,Kitman See,S45995459T,Singaporean,45,Male,16/9/14,Outrage Modesty,,,354(1),2,900,Yes,Employed,7,1,1.08
277,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,2,1.08
278,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,4,1,1.08
279,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1.08
280,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,900,Yes,Unemployed,8,1,1.08
281,Kitman See,S45995459T,Singaporean,45,Male,16/9/14,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,7,1,1.08
282,Clement Lee,S4567895F,Singaporean,35,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,5,1,1.08
283,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,8,1,1.08
284,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1.08
285,Clement Lee,S4567895F,Singaporean,48,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,6,1,1.08
286,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1.08
287,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,8,1,1.08
288,Clement Lee,S4567895F,Singaporean,44,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,5,1,1.08
289,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,4,1,1.08
290,Hui Jie,S3456784Z,Singaporean,31,Male,11/9/19,Outrage Modesty,,,354(1),2,900,Yes,Employed,9,2,1.08
291,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,5,1,1.08
292,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1.08
293,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,900,Yes,Unemployed,8,1,1.08
294,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1.08
295,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,Yes,Unemployed,0,6,1.08
296,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1.08
297,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,8,1,1.08
298,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1.08
299,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,9,1,1.08
300,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,Yes,Employed,0,6,1.08
301,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1.1
302,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1.1
303,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1.1
304,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1.1
305,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1.1
306,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1.1
307,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1.1
308,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1.1
309,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1.1
310,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1.1
311,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1.1
312,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1.1
313,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1.1
314,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1.1
315,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1.1
316,Clement Lee,S4567895F,Singaporean,47,Male,3/4/11,Outrage Modesty,,,354(1),2,940,Yes,Unemployed,6,1,1.128
317,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1.2
318,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1.2
319,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1.2
320,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,8,1,1.2
321,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,4,1,1.2
322,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1.2
323,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Unemployed,0,6,1.2
324,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,No,Employed,0,9,1.2
325,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,4,1,1.2
326,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
327,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
328,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,8,1,1.2
329,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
330,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Unemployed,0,6,1.2
331,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
332,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,No,Employed,0,9,1.2
333,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1.2
334,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
335,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1.2
336,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
337,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1.2
338,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1.2
339,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1.2
340,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1.2
341,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,No,Employed,0,9,1.2
342,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Unemployed,0,6,1.2
343,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Unemployed,0,6,1.2
344,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
345,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1200,No,Employed,0,9,1.2
346,Hui Min,S3456784S,Singaporean,30,Female,12/9/19,Misappropriation,,4400,"406 , 34",7,1000,Yes,Employed,0,2,1.2
347,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
348,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
349,Clement Lee,S4567895F,Singaporean,67,Male,3/4/11,Outrage Modesty,,,354(1),2,1200,No,Unemployed,4,1,1.2
350,Hui Min,S3456784S,Singaporean,32,Female,12/9/19,Misappropriation,,4300,"406 , 34",7,1200,No,Employed,0,1,1.2
351,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Unemployed,0,5,1.2
352,Hui Ting,S3456784P,Singaporean,58,Female,17/9/19,Misappropriation,,8000,408,15,1000,Yes,Employed,0,7,1.2
353,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,4,1,1.2
354,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1.2
355,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1.2
356,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
357,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1.2
358,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1.2
359,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,No,Employed,0,8,1.25
360,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,No,Unemployed,0,8,1.25
361,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1300,No,Employed,0,9,1.3
362,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1300,No,Unemployed,0,7,1.3
363,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
364,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1.32
365,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1.32
366,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
367,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1100,Yes,Employed,0,8,1.32
368,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1.32
369,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1.32
370,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
371,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
372,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
373,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1.32
374,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
375,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
376,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
377,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
378,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
379,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
380,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1.32
381,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
382,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1.32
383,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1200,Yes,Unemployed,0,8,1.44
384,Hui Jie,S3456784Z,Singaporean,35,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1.44
385,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Unemployed,0,9,1.44
386,Hui Jie,S3456784Z,Singaporean,28,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1.44
387,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Unemployed,0,9,1.44
388,Hui Min,S3456784S,Singaporean,32,Female,12/9/19,Misappropriation,,4200,"406 , 34",7,1200,Yes,Unemployed,0,1,1.44
389,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1200,Yes,Unemployed,0,8,1.44
390,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Employed,0,9,1.44
391,Hui Ting,S3456784P,Singaporean,57,Female,17/9/19,Misappropriation,,7500,408,15,1200,Yes,Unemployed,0,7,1.44
392,Hui Jie,S3456784Z,Singaporean,30,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1.44
393,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1200,Yes,Employed,0,8,1.44
394,Hui Min,S3456784S,Singaporean,36,Female,12/9/19,Misappropriation,,4000,"406 , 34",7,1200,Yes,Employed,0,1,1.44
395,Hui Jie,S3456784Z,Singaporean,35,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1.44
396,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Unemployed,0,9,1.44
397,Charles Kow,S1234568K,Singaporean,38,Male,4/10/18,Misappropriation,,10050,408,15,1220,Yes,Unemployed,0,9,1.464
398,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1230,Yes,Employed,0,8,1.476
399,Charles Kow,S1234568K,Singaporean,38,Male,4/10/15,Misappropriation,,10000,408,15,1240,Yes,Unemployed,0,8,1.488
400,Hui Min,S3456784S,Singaporean,37,Female,12/9/19,Misappropriation,,4450,"406 , 34",7,1250,Yes,Employed,0,1,1.5
401,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,No,Employed,0,10,1.5
402,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1.5
